adobe_cat,adobe_code,shutterstock_cat
animals,1,Animals/Wildlife
buildings-and-architecture,2,Buildings/Landmarks
business,3,Business/Finance
drinks,4,Food and drink
the-environment,5,Nature
states of mind,6,Arts
food,7,Food and drink
graphic-resources,8,Signs/Symbols
hobbies-and-leisure,9,Sports/Recreation
industry,10,Industrial
landscape,11,Parks/Outdoor
lifestyle,12,Holidays
people,13,People
plants-and-flowers,14,Nature
culture-and-religion,15,Religion
science,16,Science
social-issues,17,Miscellaneous
sports,18,Sports/Recreation
technology,19,Industrial
transport,20,Transportation
travel,21,Holidays